epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1303.64,1.4032,1.6212,0.88474,0.00823,0.76462,0.85758,0.84348,0.89954,0.58365,0.84874,0.83478,0.89048,0.51284,1.2656,1.68248,0.74311,0.00893,0,0.0005348,0.0005348,0.0005348
39,1333.87,1.40759,1.60538,0.88771,0.00805,0.76148,0.83641,0.83359,0.88055,0.58076,0.82558,0.82317,0.87207,0.49758,1.24272,1.70551,0.79138,0.00871,0,0.0004952,0.0004952,0.0004952
40,1363.81,1.43149,1.59578,0.91098,0.00813,0.77812,0.85903,0.81957,0.8942,0.57512,0.84594,0.79976,0.87439,0.49584,1.28446,1.71667,0.74874,0.00912,0,0.0004556,0.0004556,0.0004556
41,1402.01,1.26938,1.5907,0.74577,0.00974,0.64987,0.8071,0.83696,0.88834,0.58576,0.82963,0.78696,0.88029,0.5051,1.29654,1.72913,0.72164,0.00915,0,0.000416,0.000416,0.000416
42,1429.92,1.25598,1.52443,0.70859,0.00943,0.61276,0.83853,0.86087,0.90606,0.59222,0.83853,0.86087,0.90597,0.50992,1.31141,1.70058,0.68696,0.00933,0,0.0003764,0.0003764,0.0003764
43,1457.82,1.24752,1.51636,0.67448,0.00938,0.57781,0.88577,0.82596,0.90667,0.59382,0.8811,0.82161,0.90078,0.51409,1.28512,1.71134,0.67387,0.00918,0,0.0003368,0.0003368,0.0003368
44,1485.61,1.24085,1.519,0.659,0.00948,0.57816,0.90814,0.83478,0.90857,0.5898,0.89174,0.82369,0.90413,0.51174,1.29551,1.65423,0.67137,0.00925,0,0.0002972,0.0002972,0.0002972
45,1513.15,1.22965,1.48754,0.63107,0.00927,0.5464,0.89438,0.84679,0.90961,0.59685,0.8863,0.83037,0.90484,0.52196,1.28324,1.6746,0.67122,0.00912,0,0.0002576,0.0002576,0.0002576
46,1540.59,1.24814,1.53526,0.62711,0.00924,0.55204,0.87098,0.83653,0.91309,0.58673,0.84359,0.83478,0.88927,0.49396,1.29724,1.63523,0.69244,0.00907,0,0.000218,0.000218,0.000218
47,1568.15,1.22503,1.4996,0.61708,0.00941,0.55533,0.89135,0.83823,0.90979,0.59712,0.87101,0.83671,0.90504,0.52346,1.26216,1.6378,0.67752,0.00888,0,0.0001784,0.0001784,0.0001784
48,1595.39,1.21303,1.48966,0.60824,0.00917,0.5225,0.88033,0.84565,0.9142,0.59901,0.84992,0.83043,0.89124,0.50549,1.27262,1.62623,0.6897,0.00884,0,0.0001388,0.0001388,0.0001388
49,1622.96,1.20625,1.49701,0.60847,0.00901,0.54566,0.89936,0.8413,0.91247,0.59886,0.88248,0.83257,0.89709,0.52185,1.26305,1.63559,0.67323,0.00891,0,9.92e-05,9.92e-05,9.92e-05
50,1650.51,1.18492,1.42785,0.59111,0.00886,0.52232,0.89892,0.83696,0.91332,0.59917,0.87447,0.83043,0.89512,0.51581,1.26693,1.63944,0.66533,0.00889,0,5.96e-05,5.96e-05,5.96e-05
